i, nrow, alfa, Max_It, b, W1, W2, W3, W4, Ite, Aciertos
9,360,0.2,1000,-13.254,-0.96907,21.939,-7.3691,-0.5351,23,2
0,361,0.2,1100,-16.317,-0.77878,26.203,-8.6916,0.48887,28,2
1,362,0.2,1200,-23.239,-2.7423,36.203,-11.872,-0.11173,39,2
2,363,0.2,1300,-23.955,-2.0931,37.888,-12.491,-0.61378,40,2
3,364,0.2,1400,-23.338,-2.3346,36.505,-13.795,-1.1201,40,2
4,365,0.2,1500,-23.419,-2.8138,36.624,-13.813,0.060153,40,2
5,366,0.2,1600,-6.1939,-0.22697,11.183,-3.7026,0.82382,12,2
6,367,0.2,1700,-5.8305,-0.22711,11.027,-3.62,0.83974,12,2
7,368,0.2,1800,-6.6268,-1.0421,9.7896,-3.3869,0.36547,12,2
8,369,0.2,1900,-24.006,-2.538,38.679,-12.724,-0.080692,40,2
9,370,0.2,2000,-6.3528,-0.44703,10.841,-4.118,0.31789,12,2
0,371,0.2,2100,-6.1588,0.0032088,11.015,-4.1429,0.24039,12,2
1,372,0.2,2200,-13.551,-0.6245,22.187,-7.5433,0.011646,23,2
2,373,0.2,2300,-13.138,-2.1836,21.917,-7.1681,0.34332,23,2
3,374,0.2,2400,-19.808,-1.1772,31.36,-10.228,-1.1671,34,2
4,375,0.2,2500,-23.375,-2.2635,36.225,-11.82,-0.27957,39,2
5,376,0.2,2600,-22.717,-1.4428,36.464,-11.899,0.72688,39,2
6,377,0.2,2700,-22.4,-3.3301,37.08,-12.12,0.53222,39,2
7,378,0.2,2800,-19.67,-2.5851,32.972,-10.901,-0.53669,34,2
8,379,0.2,2900,-19.915,-2.1026,32.293,-10.551,-0.95404,34,2
9,380,0.2,3000,0.14116,0.74808,0.28285,-0.10353,-0.72571,1,2
0,381,0.2,3100,-6.2414,0.26519,11.544,-4.1422,0.51208,12,2
1,382,0.2,3200,-19.923,-1.5867,33.152,-10.916,-0.49799,34,2
2,383,0.2,3300,-10.507,-1.7501,15.912,-5.2231,-1.0617,18,2
3,384,0.2,3400,-23.894,-3.0884,38.03,-12.453,0.095571,40,2
4,385,0.2,3500,-5.8576,-0.16911,10.106,-3.658,-0.73617,12,2
5,386,0.2,3600,-16.148,-1.8108,26.316,-8.6604,-0.0018519,28,2
6,387,0.2,3700,-13.128,-2.2676,21.976,-7.1844,0.56531,23,2
7,388,0.2,3800,-10.476,-0.50772,16.951,-5.6555,-1.0592,18,2
8,389,0.2,3900,-6.7662,-0.84927,11.165,-3.8217,-0.055728,12,2
9,390,0.2,4000,-6.5816,-1.3399,11.464,-3.8185,0.012671,12,2
0,391,0.2,4100,-22.609,-1.4959,36.925,-12.083,0.66162,39,2
1,392,0.2,4200,-13.334,-1.518,21.448,-7.089,0.32696,23,2
2,393,0.2,4300,-13.103,-0.95369,21.322,-7.054,-0.39825,23,2
3,394,0.2,4400,-12.604,-1.8321,20.748,-6.7772,-1.0494,23,2
4,395,0.2,4500,-12.663,-1.2008,21.778,-7.2775,0.65414,23,2
5,396,0.2,4600,-6.4259,-1.6283,9.8794,-3.5491,0.74419,12,2
6,397,0.2,4700,-15.667,-2.2676,26.752,-8.9487,-0.91299,28,2
