"","recno","TYCID1","TYCID2","TYCID3","RA_J2000","DE_J2000","pmRA","pmDE","BT","VT","V","BV","HD","HIP","Plx","indexcandidate","hyades","clusterNum"
"1195",6685,95,813,1,4.64752,6.17369,8.6,-37.3,10.544,9.967,9.915,0.49,"NULL","NULL",0,1473,0,3
"1207",6700,95,1137,1,4.68598,5.9479,18.5,-21.1,11.537,10.855,10.794,0.58,"NULL","NULL",0,1488,0,3
"1211",6704,95,1237,1,4.71705,6.07344,4.2,-36.2,10.694,10.162,10.114,0.452,"NULL","NULL",0,1492,0,3
"1225",6720,96,51,1,4.85574,7.43667,0.5,-85.1,9.4,8.881,8.834,0.441,"30835","NULL",0,1508,0,3
"1228",6723,96,80,1,4.8389,5.74325,13.1,-28.1,11.21,10.481,10.415,0.62,"NULL","NULL",0,1511,0,3
"1234",6729,96,147,1,4.83219,7.3787,27.7,-32.1,11.755,10.718,10.625,0.881,"NULL","NULL",0,1517,0,3
"1247",6745,96,378,1,4.79163,7.44371,20.6,-24,11.52,10.51,10.419,0.859,"NULL","NULL",0,1533,0,3
"1250",6748,96,429,1,4.76327,6.7704,6.1,-32.2,11.319,10.23,10.132,0.926,"NULL","NULL",0,1536,0,3
"1256",6754,96,535,1,4.84903,6.45958,101.2,-46,10.035,9.456,9.404,0.492,"NULL","NULL",0,1542,0,3
"1266",6767,96,732,1,4.76392,7.12264,14,-26.9,11.256,10.21,10.116,0.889,"NULL","NULL",0,1555,0,3
"1268",6769,96,776,1,4.82294,6.56473,49.7,-14.1,10.547,9.772,9.702,0.659,"NULL","NULL",0,1557,0,3
"1276",6777,96,886,1,4.79753,6.15611,36.1,-13.5,11.093,10.209,10.129,0.751,"NULL","NULL",0,1565,0,3
"1283",6784,97,42,1,4.96341,6.5084,64.1,-79.2,9.895,9.179,9.115,0.609,"NULL","NULL",0,1572,0,3
"1298",6801,97,247,1,4.93689,7.15185,6.9,-31.2,10.026,8.839,8.732,1.009,"31436","NULL",0,1589,0,3
"1306",6809,97,422,1,4.96632,6.77992,36.1,-43.8,11.727,11.258,11.216,0.399,"NULL","NULL",0,1597,0,3
"1314",6818,97,542,1,4.98807,6.43088,57.1,1.3,12.28,11.036,10.924,1.057,"NULL","NULL",0,1606,0,3
"1323",6828,97,645,1,4.99945,5.90467,54.5,-73.5,10.326,9.148,9.042,1.001,"31933","NULL",0,1616,0,3
"1330",6835,97,725,1,4.8777,6.5191,30.8,-20.1,12.281,11.544,11.478,0.626,"NULL","NULL",0,1623,0,3
"1331",6836,97,726,1,4.97402,6.22311,84.7,-53.5,11.032,10.367,10.307,0.565,"NULL","NULL",0,1624,0,3
"1340",6845,97,857,1,4.90704,5.69321,36.2,-65.4,12.028,10.659,10.536,1.164,"NULL","NULL",0,1633,0,3
"1357",7351,102,282,1,5.05237,3.5275,9.3,-41.7,11.496,10.699,10.627,0.677,"NULL","NULL",0,1653,0,3
"1358",7356,102,330,1,5.04181,3.44456,67.7,-54.3,9.8,9.123,9.062,0.575,"32336","NULL",0,1654,0,3
"1364",7365,102,473,1,5.02954,3.51989,-1.8,-48.9,11.225,10.628,10.574,0.507,"NULL","NULL",0,1660,0,3
"1370",7471,103,566,1,5.13007,3.5874,71.4,-86.8,10.91,10.033,9.954,0.745,"NULL","NULL",0,1666,0,3
"1385",7528,103,1704,1,5.19002,3.57451,2.6,-58.4,11.5,10.932,10.881,0.483,"NULL","NULL",0,1684,0,3
